sex,sex_orientation,race,edu,coverage,citizen,income_sqrt
Male,Straight,Black/African American,Associate degree,Covered,US Citizen,244.94897427831782
Female,Straight,White,Associate degree,Covered,US Citizen,223.60679774997897
Male,Straight,White,"Some college, no degree",Covered,US Citizen,254.95097567963924
Male,Straight,Hispanic,Associate degree,Covered,US Citizen,346.41016151377545
Male,Straight,White,"Some college, no degree",Covered,US Citizen,173.20508075688772
Male,Straight,Black/African American,"Some college, no degree",Covered,US Citizen,200
Male,Straight,White,Bachelor's degree,Covered,US Citizen,282.842712474619
Male,Straight,White,High school graduate,Not covered,US Citizen,0
Male,Straight,White,"Some college, no degree",Covered,US Citizen,316.22776601683796
Male,Straight,White,Less than a high school diploma,Covered,US Citizen,140.93615575855614
Male,Straight,Black/African American,High school graduate,Covered,US Citizen,185.20529150107996
Male,Straight,White,High school graduate,Covered,US Citizen,187.08286933869707
Female,Straight,White,Associate degree,Covered,US Citizen,149.02684321960257
Female,Straight,White,"Some college, no degree",Covered,US Citizen,141.4213562373095
Female,Straight,White,Professional school degree,Covered,US Citizen,331.66247903554
Male,Straight,White,Bachelor's degree,Covered,US Citizen,300
Male,Straight,White,Master's degree,Covered,US Citizen,209.76176963403032
Male,Straight,White,High school graduate,Covered,US Citizen,0
Female,Straight,White,Associate degree,Covered,US Citizen,187.08286933869707
Female,Straight,White,"Some college, no degree",Not covered,US Citizen,122.47448713915891
Female,Straight,Black/African American,High school graduate,Covered,US Citizen,114.0175425099138
Female,Straight,Black/African American,"Some college, no degree",Covered,US Citizen,146.9693845669907
Male,Straight,White,Bachelor's degree,Not covered,US Citizen,224.0535650240808
Female,Straight,White,Bachelor's degree,Covered,US Citizen,254.95097567963924
Female,Straight,White,Master's degree,Covered,US Citizen,469.041575982343
Female,Straight,White,Master's degree,Covered,US Citizen,387.2983346207417
Female,Straight,White,Bachelor's degree,Covered,US Citizen,441.5880433163923
Female,Straight,Black/African American,High school graduate,Covered,US Citizen,158.11388300841898
Male,Straight,Black/African American,Less than a high school diploma,Not covered,US Citizen,244.94897427831782
Male,Straight,Black/African American,Less than a high school diploma,Covered,US Citizen,96.24967532412772
Male,Straight,Black/African American,High school graduate,Covered,US Citizen,254.95097567963924
Male,Straight,Black/African American,"Some college, no degree",Covered,US Citizen,300
Female,Straight,Black/African American,Associate degree,Covered,US Citizen,70.71067811865476
Male,Straight,Black/African American,"Some college, no degree",Covered,US Citizen,244.94897427831782
Male,Straight,White,High school graduate,Covered,US Citizen,151.65750888103102
Female,Straight,American Indian and Alaska Native,High school graduate,Not covered,US Citizen,319.8358954213864
Female,Straight,White,"Some college, no degree",Not covered,US Citizen,229.9499945640356
Male,Straight,White,Associate degree,Covered,US Citizen,254.95097567963924
Female,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,170
Male,Straight,White,Doctoral degree,Covered,US Citizen,291.547594742265
Female,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,141.4213562373095
Female,Straight,American Indian and Alaska Native,"Some college, no degree",Not covered,US Citizen,204.3159318310738
Male,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,296.6479394838265
Female,Straight,White,Master's degree,Covered,US Citizen,162.17274740226856
Female,Straight,Hispanic,"Some college, no degree",Covered,US Citizen,189.73665961010275
Male,Straight,White,GED or equivalent,Not covered,US Citizen,187.08286933869707
Female,Straight,Hispanic,"Some college, no degree",Covered,US Citizen,94.86832980505137
Female,Straight,White,Less than a high school diploma,Covered,US Citizen,120
Male,Straight,Asian,Master's degree,Covered,US Citizen,122.47448713915891
Female,Straight,White,High school graduate,Covered,US Citizen,158.11388300841898
Female,Straight,White,"Some college, no degree",Covered,US Citizen,189.73665961010275
Female,Straight,Hispanic,"Some college, no degree",Covered,US Citizen,316.22776601683796
Female,Straight,White,Bachelor's degree,Covered,US Citizen,399.1415788915006
Female,Straight,White,"Some college, no degree",Covered,US Citizen,254.95097567963924
Female,Straight,White,Master's degree,Covered,US Citizen,244.94897427831782
Male,Straight,White,Less than a high school diploma,Covered,US Citizen,242.4871130596428
Male,Straight,Black/African American,High school graduate,Covered,US Citizen,109.54451150103323
Female,Straight,Hispanic,High school graduate,Covered,US Citizen,164.31676725154983
Male,Straight,White,Master's degree,Covered,US Citizen,234.5207879911715
Male,Straight,White,High school graduate,Covered,Non-US Citizen,264.5751311064591
Female,Straight,Hispanic,Associate degree,Not covered,Non-US Citizen,185.17829246431668
Male,Straight,Hispanic,Associate degree,Not covered,Non-US Citizen,187.08286933869707
Male,Straight,Hispanic,Less than a high school diploma,Covered,Non-US Citizen,173.20508075688772
Female,Straight,White,Associate degree,Covered,US Citizen,94.86832980505137
Female,Straight,American Indian and Alaska Native,High school graduate,Covered,US Citizen,244.94897427831782
Female,Straight,White,Master's degree,Covered,US Citizen,469.041575982343
Male,Straight,White,Professional school degree,Covered,US Citizen,424.26406871192853
Female,Straight,Hispanic,Master's degree,Covered,US Citizen,393.70039370059055
Male,Straight,White,Associate degree,Covered,US Citizen,393.70039370059055
Male,Straight,White,GED or equivalent,Covered,US Citizen,273.8612787525831
Male,Straight,White,Bachelor's degree,Not covered,US Citizen,469.041575982343
Male,Straight,White,High school graduate,Covered,US Citizen,289.8275349237888
Male,Straight,White,High school graduate,Covered,US Citizen,244.94897427831782
Male,Straight,White,Associate degree,Covered,US Citizen,324.037034920393
Male,Straight,White,Bachelor's degree,Covered,US Citizen,447.21359549995793
Male,Straight,White,Master's degree,Covered,US Citizen,387.2983346207417
Male,Straight,White,Bachelor's degree,Covered,US Citizen,350.71355833500365
Male,Straight,White,High school graduate,Covered,US Citizen,300
Female,Straight,White,Less than a high school diploma,Covered,US Citizen,122.47448713915891
Male,Straight,White,Bachelor's degree,Covered,US Citizen,154.91933384829667
Male,Straight,Hispanic,Less than a high school diploma,Covered,US Citizen,98.99494936611666
Female,Straight,White,High school graduate,Covered,US Citizen,282.842712474619
Female,Straight,White,Less than a high school diploma,Not covered,US Citizen,187.08286933869707
Female,Straight,White,GED or equivalent,Covered,US Citizen,141.4213562373095
Male,Straight,White,Bachelor's degree,Covered,US Citizen,173.20508075688772
Female,Straight,White,Bachelor's degree,Covered,US Citizen,273.8612787525831
Male,Straight,Asian,Master's degree,Covered,Non-US Citizen,254.95097567963924
Male,Straight,White,Bachelor's degree,Covered,US Citizen,254.95097567963924
Female,Straight,Black/African American,High school graduate,Covered,US Citizen,96.12491872558333
Male,Straight,White,Bachelor's degree,Covered,US Citizen,339.1164991562634
Male,Straight,Black/African American,Less than a high school diploma,Covered,US Citizen,189.73665961010275
Male,Straight,White,Associate degree,Covered,US Citizen,223.60679774997897
Female,Straight,White,"Some college, no degree",Covered,US Citizen,134.16407864998737
