sex,sex_orientation,race,edu,coverage,citizen,income_sqrt
Female,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,346.41016151377545
Female,Straight,American Indian and Alaska Native,Bachelor's degree,Covered,US Citizen,273.8612787525831
Male,Straight,American Indian and Alaska Native,Bachelor's degree,Covered,US Citizen,223.60679774997897
Female,Straight,American Indian and Alaska Native,Less than a high school diploma,Covered,US Citizen,92.19544457292888
Female,Straight,American Indian and Alaska Native,Less than a high school diploma,Covered,US Citizen,200
Male,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,232.379000772445
Female,Straight,American Indian and Alaska Native,Bachelor's degree,Covered,US Citizen,189.73665961010275
Female,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,316.8737919109121
Female,Straight,American Indian and Alaska Native,GED or equivalent,Covered,US Citizen,99.9799979995999
Female,Bisexual,American Indian and Alaska Native,High school graduate,Covered,US Citizen,158.11388300841898
Female,Straight,American Indian and Alaska Native,High school graduate,Covered,US Citizen,104.88088481701516
Female,Straight,American Indian and Alaska Native,Less than a high school diploma,Covered,US Citizen,227.03523955544875
Male,Straight,American Indian and Alaska Native,Less than a high school diploma,Covered,US Citizen,137.84048752090223
Male,Straight,American Indian and Alaska Native,GED or equivalent,Covered,US Citizen,174.16945771288374
Female,Straight,American Indian and Alaska Native,Bachelor's degree,Covered,US Citizen,141.4213562373095
Male,Bisexual,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,236.64319132398464
Male,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,324.037034920393
Male,Straight,American Indian and Alaska Native,Less than a high school diploma,Covered,US Citizen,93.14504817756014
Female,Straight,American Indian and Alaska Native,Less than a high school diploma,Covered,US Citizen,173.20508075688772
Female,Bisexual,American Indian and Alaska Native,Master's degree,Covered,US Citizen,141.4213562373095
Female,Straight,American Indian and Alaska Native,Less than a high school diploma,Covered,US Citizen,189.73665961010275
Male,Straight,American Indian and Alaska Native,Professional school degree,Covered,US Citizen,300
Female,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,183.3030277982336
Female,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,221.35943621178654
Female,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,273.8612787525831
Male,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,424.26406871192853
Female,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,264.5751311064591
Female,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,109.54451150103323
Male,Straight,American Indian and Alaska Native,Bachelor's degree,Covered,US Citizen,346.41016151377545
Female,Straight,American Indian and Alaska Native,Associate degree,Covered,US Citizen,173.20508075688772
Male,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,300
Female,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,70.71067811865476
Female,Straight,American Indian and Alaska Native,GED or equivalent,Covered,US Citizen,109.54451150103323
Male,Bisexual,American Indian and Alaska Native,Master's degree,Covered,US Citizen,104.919016388832
