sex,sex_orientation,race,edu,coverage,citizen,income_sqrt
Female,Bisexual,Hispanic,Bachelor's degree,Covered,Non-US Citizen,223.60679774997897
Female,Bisexual,White,High school graduate,Covered,US Citizen,223.60679774997897
Female,Bisexual,White,Master's degree,Covered,US Citizen,208.806130178211
Female,Bisexual,White,Doctoral degree,Covered,US Citizen,306.59419433511783
Female,Bisexual,Hispanic,High school graduate,Covered,US Citizen,244.94897427831782
Male,Bisexual,White,Associate degree,Covered,Non-US Citizen,264.5751311064591
Female,Bisexual,White,Associate degree,Covered,US Citizen,264.5751311064591
Female,Bisexual,Black/African American,High school graduate,Covered,US Citizen,158.11388300841898
Female,Bisexual,White,High school graduate,Covered,US Citizen,173.20508075688772
Female,Bisexual,Black/African American,"Some college, no degree",Covered,US Citizen,83.66600265340756
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,104.88088481701516
Male,Bisexual,Hispanic,High school graduate,Covered,US Citizen,141.4213562373095
Female,Bisexual,Black/African American,High school graduate,Covered,US Citizen,158.11388300841898
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,141.4213562373095
Male,Bisexual,Hispanic,Bachelor's degree,Covered,US Citizen,314.00636936215164
Female,Bisexual,Hispanic,"Some college, no degree",Covered,US Citizen,469.041575982343
Male,Bisexual,White,Associate degree,Covered,US Citizen,316.22776601683796
Female,Bisexual,White,Associate degree,Covered,US Citizen,424.26406871192853
Female,Bisexual,White,High school graduate,Covered,US Citizen,316.22776601683796
Female,Bisexual,White,Master's degree,Covered,US Citizen,316.22776601683796
Female,Bisexual,White,High school graduate,Covered,US Citizen,325.5764119219941
Female,Bisexual,Asian,"Some college, no degree",Covered,Non-US Citizen,176.0681686165901
Male,Bisexual,Asian,Bachelor's degree,Covered,US Citizen,184.39088914585776
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,173.20508075688772
Female,Bisexual,American Indian and Alaska Native,High school graduate,Covered,US Citizen,158.11388300841898
Male,Bisexual,Hispanic,High school graduate,Covered,US Citizen,273.8612787525831
Female,Bisexual,Hispanic,"Some college, no degree",Covered,US Citizen,144.9137674618944
Female,Bisexual,White,GED or equivalent,Covered,US Citizen,187.08286933869707
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,187.08286933869707
Male,Bisexual,Asian,Doctoral degree,Covered,Non-US Citizen,128.68177804180357
Female,Bisexual,White,Less than a high school diploma,Not covered,US Citizen,171.8865905182833
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,202.48456731316588
Female,Bisexual,White,"Some college, no degree",Not covered,US Citizen,135.38463723776047
Female,Bisexual,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,89.37561188601732
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,309.83866769659335
Female,Bisexual,Black/African American,Associate degree,Not covered,US Citizen,194.93588689617928
Female,Bisexual,White,"Some college, no degree",Not covered,US Citizen,264.5751311064591
Female,Bisexual,Black/African American,"Some college, no degree",Not covered,US Citizen,172.8583234906552
Female,Bisexual,White,High school graduate,Not covered,US Citizen,101.9803902718557
Female,Bisexual,Hispanic,"Some college, no degree",Not covered,US Citizen,173.20508075688772
Female,Bisexual,Black/African American,Less than a high school diploma,Not covered,US Citizen,0
Female,Bisexual,White,GED or equivalent,Not covered,US Citizen,113.55175031676086
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,94.86832980505137
Male,Bisexual,Black/African American,High school graduate,Not covered,US Citizen,387.2983346207417
Female,Bisexual,American Indian and Alaska Native,"Some college, no degree",Not covered,US Citizen,148.32396974191326
Male,Bisexual,White,High school graduate,Not covered,US Citizen,200
Female,Bisexual,Black/African American,High school graduate,Not covered,US Citizen,161.24515496597098
