cluster,sex,sex_orientation,race,edu,coverage,citizen,income2
1,Female,Straight,White,Bachelor's degree,Covered,US Citizen,"$99,856"
2,Male,Straight,Asian,Bachelor's degree,Covered,US Citizen,"$79,524"
3,Male,Straight,Black/African American,"Some college, no degree",Covered,US Citizen,"$47,524"
4,Female,Straight,Hispanic,High school graduate,Covered,US Citizen,"$40,000"
5,Female,Straight,American Indian and Alaska Native,"Some college, no degree",Covered,US Citizen,"$19,881"
6,Female,Straight,Asian,Bachelor's degree,Not covered,Non-US Citizen,"$69,696"
7,Male,Straight,White,High school graduate,Not covered,US Citizen,"$37,636"
8,Male,Straight,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,"$27,889"
9,Female,Straight,Black/African American,Associate degree,Not covered,US Citizen,"$26,896"
10,Male,Straight,American Indian and Alaska Native,Less than a high school diploma,Not covered,US Citizen,"$24,964"
