2019 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults – Medication Review,C10: Care for Older Adults – Functional Status Assessment,C11: Care for Older Adults – Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: Diabetes Care – Eye Exam,C14: Diabetes Care – Kidney Disease Monitoring,C15: Diabetes Care – Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Improving Bladder Control,C20: Medication Reconciliation Post-Discharge,C21: Plan All-Cause Readmissions,C22: Statin Therapy for Patients with Cardiovascular Disease,C23: Getting Needed Care,C24: Getting Appointments and Care Quickly,C25: Customer Service,C26: Rating of Health Care Quality,C27: Rating of Health Plan,C28: Care Coordination,C29: Complaints about the Health Plan,C30: Members Choosing to Leave the Plan,C31: Health Plan Quality Improvement,C32: Plan Makes Timely Decisions about Appeals,C33: Reviewing Appeals Decisions,C34: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Drug Plan Quality Improvement,D07: Rating of Drug Plan,D08: Getting Needed Prescription Drugs,D09: MPF Price Accuracy,D10: Medication Adherence for Diabetes Medications,D11: Medication Adherence for Hypertension (RAS antagonists),D12: Medication Adherence for Cholesterol (Statins),D13: MTM Program Completion Rate for CMR,D14: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,03/2018 – 06/2018,04/01/2017 – 07/31/2017,04/01/2017 – 07/31/2017,04/01/2017 – 07/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,04/01/2017 – 07/31/2017,04/01/2017 – 07/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,03/2018 – 06/2018,03/2018 – 06/2018,03/2018 – 06/2018,03/2018 – 06/2018,03/2018 – 06/2018,03/2018 – 06/2018,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,Not Applicable,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,02/2018 – 06/2018,02/2018 – 06/2018,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,Not Applicable,03/2018 – 06/2018,03/2018 – 06/2018,01/01/2017 – 09/30/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017,01/01/2017 – 12/31/2017
E0654,Employer/Union Only Direct Contract PDP,Ibt Voluntary Employee Benefits Trust,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,0.5,81%,0.02,Not enough data available,Medicare shows only a Star Rating for this topic,83,91,Not enough data available,83%,86%,83%,44%,78%
E3014,Employer/Union Only Direct Contract PDP,Psers Hop Program,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,1.8,80%,0.01,Not enough data available,Medicare shows only a Star Rating for this topic,87,94,Not enough data available,86%,89%,84%,54%,78%
E4744,Employer/Union Only Direct Contract PDP,Modot/mshp Medical And Life Insurance Plan,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,4.8,Not enough data available,0.00,Not enough data available,Medicare shows only a Star Rating for this topic,84,92,Not enough data available,85%,88%,83%,25%,74%
H0022,Demo,"Buckeye Community Health Plan, Inc.",Buckeye Health Plan - MyCare Ohio,Centene Corporation,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0028,Local CCP,"Cha Hmo, Inc.",Humana,Humana Inc.,73%,72%,79%,65%,84%,52%,99%,87%,No data available,No data available,No data available,36%,70%,96%,82%,86%,79%,53%,41%,64%,10%,84%,82,77,89,85,84,86,0.13,14%,Medicare shows only a Star Rating for this topic,90%,86%,98%,100%,0.0,Not enough data available,0.13,14%,Medicare shows only a Star Rating for this topic,85,89,99,84%,87%,85%,78%,80%
H0029,Local CCP,"Coordinated Care Of Washington, Inc.",Allwell,Centene Corporation,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,94%,94%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0062,Local CCP,"Superior Healthplan Community Solutions, Inc.",Allwell,Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,94%,94%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,99,76%,77%,68%,Not enough data available,65%
H0088,Local CCP,"Wellcare Health Insurance Of New York, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,95%,88%,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
