2021 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults – Medication Review,C10: Care for Older Adults – Functional Status Assessment,C11: Care for Older Adults – Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: Diabetes Care – Eye Exam,C14: Diabetes Care – Kidney Disease Monitoring,C15: Diabetes Care – Blood Sugar Controlled,C16: Rheumatoid Arthritis Management,C17: Reducing the Risk of Falling,C18: Improving Bladder Control,C19: Medication Reconciliation Post-Discharge,C20: Statin Therapy for Patients with Cardiovascular Disease,C21: Getting Needed Care,C22: Getting Appointments and Care Quickly,C23: Customer Service,C24: Rating of Health Care Quality,C25: Rating of Health Plan,C26: Care Coordination,C27: Complaints about the Health Plan,C28: Members Choosing to Leave the Plan,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Drug Plan Quality Improvement,D07: Rating of Drug Plan,D08: Getting Needed Prescription Drugs,D09: MPF Price Accuracy,D10: Medication Adherence for Diabetes Medications,D11: Medication Adherence for Hypertension (RAS antagonists),D12: Medication Adherence for Cholesterol (Statins),D13: MTM Program Completion Rate for CMR,D14: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,03/2019 – 05/2019,04/01/2019 – 07/31/2019,04/01/2019 – 07/31/2019,04/01/2019 – 07/31/2019,01/01/2018 – 12/31/2018,01/01/2019 – 12/31/2019,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,04/01/2019 – 07/31/2019,04/01/2019 – 07/31/2019,01/01/2018 – 12/31/2018,01/01/2018 – 12/31/2018,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,03/2019 – 05/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,Not Applicable,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,02/2020 – 06/2020,02/2020 – 06/2020,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,Not Applicable,03/2019 – 05/2019,03/2019 – 05/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019,01/01/2019 – 12/31/2019
E0654 ,Employer/Union Only Direct Contract PDP ,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST ,TEAMStar Medicare Part D Prescription Drug Program ,IBT Voluntary Employee Benefits Trust ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,10.1,89%,0.03,Not enough data available ,Medicare shows only a Star Rating for this topic ,80,90,Not enough data available ,85%,87%,84%,61%,79%
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,0,91%,0,Not enough data available ,Medicare shows only a Star Rating for this topic ,88,94,Not enough data available ,88%,89%,87%,68%,82%
E4744 ,Employer/Union Only Direct Contract PDP ,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN ,MISSOURI DEPARTMENT OF TRANSPORTATION ,Missouri Highways and Transportation Commission ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,3.2,82%,0,Not enough data available ,Medicare shows only a Star Rating for this topic ,84,93,Not enough data available ,87%,88%,86%,53%,76%
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,74%,76%,79,70%,80%,53%,99%,77%,96%,95%,98%,47%,75%,98%,86%,78%,56%,44%,79%,83%,84,82,91,86,86,88,0.15,14%,Medicare shows only a Star Rating for this topic ,92%,94%,100%,98%,2.5,87%,0.15,14%,Medicare shows only a Star Rating for this topic ,87,90,99,84%,86%,85%,83%,83%
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,No data available ,Not enough data available ,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Plan not required to report ,Not enough data available
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,68%,67%,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC. ",Allwell ,Centene Corporation ,Not enough data available ,60%,65,Plan too new to be measured ,Plan too new to be measured ,54%,94%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,58%,98%,67%,Not enough data available ,60%,39%,53%,Not enough data available ,Plan too small to be measured ,72,91,Plan too small to be measured ,85,83,0.85,31%,Not enough data available ,Not enough data available ,Not enough data available ,95%,97%,5.4,Not enough data available ,0.85,31%,Medicare shows only a Star Rating for this topic ,82,Plan too small to be measured ,99,83%,80%,79%,94%,88%
